^NQUSS2727EURT
^NQUSB2727LMGBP
23169713.SG
^NQUSB2727LM
^NQUSB2727LMEURN
^DJGSDCCN
^R3DIVGRO
^DJUKFD
^NQUSM7573GBPT
20540948.SG
^NQUSS7573JPYT
^SP600-501010
0DQE.Z
^NQUSM7573EUR
^NQUSB7573LMAUDT
HDIG.NZ
^DJUSDIVT
^SP600-4020
EUDIV.Z
^DWCPOL
^DJEUFDD
27629932.SG
^DJFRFDT
^DJEZDID
^DJDVP
^NQUSL2727EURT
^NQUSS2727EUR
^RSDIVSPX
^R2DVSCT
^NQUSB2727LMAUDN
^SP500-4020TR
26943805.Z
^SP500-501010
^NQUSB2799LMJPY
^R2GRGSCDT
EUDIVXUK.Z
FTJPGE.FGI
^MHDP
26185195.Z
UNUD.L
^NQUSS2727CAD
^DJCHDIND
^NSEDIV
^DJEUDIVR
^NQUSB2727LMJPYN
^SP500-15101020
^SPC30025
^NQDACHKT
SMIMDP.SW
^NQUSM7573CADN
^WTDGITR
^NQMAUSX
^RSLEAD
^JHDMTT
^JHDMI
^RAESGD
^DJGSDCC
^SDOGX
^NQUSB2799LMCAD
INDD.MC
^MSCICD
^SP1500-4020
^DJDEDID
^NQUSS8674AUDT
^NQUSM7573JPY
^DJJPSDT
000015.SS
^SP500-25TR
^NQUSS7573AUDT
^NQUSS8674GBPT
^SSGAGDIT
^NQUSB2799LMAUDT
^DJCNDIVT
^NQUSB2727LMCADT
^DIVCN
321I.DE
^DJCNDIVR
^NQUSB7573LMAUDN
^SP1500-255010
^DJCNDID
^NQUSS2799T
^NQUSS8674JPYT
^SP1500-25501010
^DIGGATR
^NQUSB2799LMCADN
^DJDEFD
^NQUSB7573LMJPYT
^SP400-15101020
^NQUSS2799AUDN
SE4000.MX
^NQUSS8674N
^NOECHI
^NQUSB2727LMAUD
^IXYNTR
^NQNDDMBEUROT
^NQUSB2799LMEURN
^SP400-45203030
^NQUSB7573LMGBPN
^DJFRFDR
^SNIDIV
^WTSDG
^DIGGA
^NQUSS7573GBPN
^DJDVN
FTJPGEN.FGI
20680860.Z
000149.SS
^NQUSS2727AUD
^NQUSS8674AUD
^NQUSS2727GBPT
TXEI.TS
^PWRIDX
^DJAUSD
SXAE5DJG.Z
^SP500-4020
FSMD.EX
^SP500-255010
^SSGAGDI
^NQCI2HDATR
^SP400-35102010
3630414.SG
^R2DVSC
^R3RGSCDTR
^NQUSL2727JPY
^SDXR
^NQUSS2727CADT
^DJEZDIV
^REVWDIV
^MHDT
^R1DVLC
25654937.SG
^NQUSS2799CADN
^RGLODTRUSD
^DJSWSDEN
