^MERV
^TA100
^ATX
^DJU
^AORD
^AEX
RTS.RS
^XAX
399107.SZ
^DJA
^OSEAX
^NWX
^TWOII
^NQASPA8000LMAUDN
^HUI
^FTAS
^FTAI
^DRG
^AXJO
^XBD
^BTK
^XMI
^XABQ
^REIT
^QAGR
^NQNA9000LMJPYN
^DAATR
^AXSVTN
^ABAQ
MICEXINDEXCF.ME
^VXAPL
^SBF250
^QIV
^P1DOW
^OSTI
^OMXNORDICEURPI
^NQZALMZARN
^NQZALMCAD
^NQUSL8700AUDT
^NQUSBLMAUDT
^NQUSBLMAUDN
^NQUSB8777LMAUDN
^NQUSB8777LMAUD
^NQUSB5371LMJPYN
^NQUSB5371LMJPY
^NQUSB3763LMGBPT
^NQUSB2795LMEURN
^NQUSB2000LMAUD
^NQNALMN
^NQNALMGBP
^NQNALMEUR
^NQNALMCAD
^NQNALM
^NQNA8300LM
^NQNA8000LMGBPN
^NQNA8000LMEURT
^NQNA5300LMAUD
^NQNA5000LMJPYN
^NQNA5000LMJPY
^NQNA4000LMAUD
^NQNA3700LMEURN
^NQNA3000LMN
^NQNA2700LMN
^NQNA1000LMN
^NQNA0001LMCADN
^NQLALMAUD
^NQDXUSMLTCGN
^NQDXEU
^NQDXEMSC
^NQDMXUSSCAUDT
^NQDMXGBLMAUD
^NQDMASPAXJPSCAUD
^NQDMASPALMGBPN
^NQCALMAUD
^NQAULMN
^NQATLMCADN
^NQASPALMGBPN
^NQASPA8000LMEURN
^NQASPA8000LM
^NQASPA3500LMGBP
^NQASPA0001LMEUR
^GRNASIA
^FIRSTNORTHDKK
^DWAPUT
^DRBSN
^DRBS
^DRBGT
^DRBG
^CSE
^CSCSY
^AXPJ
^AXHJ
^AXGD
^AXGAL
^AXFJ
^AMZ
TMPS
SXAPD.Z
SDR15Y.SW
SA1AMVR.Z
PAX.PA
INAX.DE
IM25.BA
HTXHUF.VI
G7X4.DE
D8AG.DE
D1BM.DE
ASX1770.L
ALL.PS
AAX.NX
5FUA.DE
3BMO.DE
SAA6UNR.Z
^NQLA1300JPYN
