0.00E+00,4.40E+00,7.80E+00,1.10E+00
0.00E+00,5.30E+00,2.47E+01,8.00E-01
0.00E+00,3.70E+00,7.40E+00,0.00E+00
0.00E+00,0.00E+00,1.88E+01,0.00E+00
8.00E-01,0.00E+00,1.20E+01,2.30E+00
5.00E-01,4.50E+00,3.77E+01,0.00E+00
0.00E+00,6.00E-01,6.60E+00,0.00E+00
0.00E+00,5.00E-01,1.19E+01,0.00E+00
6.00E-01,7.90E+00,4.42E+01,3.00E-01
0.00E+00,3.90E+00,1.55E+01,0.00E+00
0.00E+00,3.60E+00,1.75E+01,0.00E+00
0.00E+00,4.90E+00,1.48E+01,1.00E+00
4.00E-01,1.40E+00,2.45E+01,0.00E+00
0.00E+00,2.30E+00,1.38E+01,1.50E+00
4.00E-01,2.40E+00,2.86E+01,0.00E+00
9.00E-01,1.31E+01,4.94E+01,1.30E+00
4.00E-01,1.60E+00,3.46E+01,0.00E+00
0.00E+00,1.90E+00,2.41E+01,0.00E+00
0.00E+00,2.40E+00,6.14E+01,1.78E+01
0.00E+00,3.90E+00,1.81E+01,1.10E+00
0.00E+00,5.20E+00,2.30E+01,0.00E+00
0.00E+00,2.20E+00,3.39E+01,0.00E+00
0.00E+00,3.00E+00,1.44E+01,8.00E-01
0.00E+00,1.50E+00,3.68E+01,5.90E+00
0.00E+00,0.00E+00,2.35E+01,8.00E-01
0.00E+00,2.50E+00,3.98E+01,1.85E+01
5.00E-01,6.20E+00,3.19E+01,1.02E+01
0.00E+00,8.70E+00,3.44E+01,1.40E+00
0.00E+00,2.00E+00,2.62E+01,0.00E+00
4.00E-01,7.30E+00,1.63E+01,1.10E+00
0.00E+00,8.50E+00,4.42E+01,0.00E+00
0.00E+00,1.60E+00,1.89E+01,0.00E+00
0.00E+00,1.90E+00,1.77E+01,1.30E+00
1.70E+00,2.80E+00,1.90E+01,3.30E+00
2.00E+00,1.00E+00,6.50E+00,2.46E+01
1.60E+00,7.00E+00,4.57E+01,3.10E+00
0.00E+00,0.00E+00,8.20E+00,2.10E+00
0.00E+00,1.60E+00,2.06E+01,5.00E-01
0.00E+00,1.22E+01,9.60E+00,3.50E+00
1.20E+00,5.50E+00,1.09E+01,6.00E-01
0.00E+00,7.00E-01,1.42E+01,0.00E+00
2.40E+00,8.30E+00,2.05E+01,1.00E+00
0.00E+00,1.10E+00,1.19E+01,1.10E+00
0.00E+00,7.30E+00,2.83E+01,2.76E+01
0.00E+00,5.20E+00,1.16E+01,3.90E+00
0.00E+00,6.00E+00,8.00E+00,0.00E+00
6.00E-01,8.30E+00,3.01E+01,0.00E+00
0.00E+00,1.22E+01,4.75E+01,3.00E+00
2.70E+00,4.00E+00,8.00E+00,0.00E+00
8.00E-01,4.00E+00,2.23E+01,0.00E+00
0.00E+00,5.80E+00,1.47E+01,1.10E+00
0.00E+00,1.70E+00,1.27E+01,6.00E-01
0.00E+00,5.80E+00,1.82E+01,1.50E+00
0.00E+00,3.00E+00,1.21E+01,0.00E+00
7.00E-01,2.20E+00,3.41E+01,7.00E-01
6.00E-01,0.00E+00,1.22E+01,1.70E+00
0.00E+00,3.00E+00,4.03E+01,0.00E+00
6.00E-01,2.20E+00,5.04E+01,2.50E+00
0.00E+00,2.10E+00,5.85E+01,1.25E+01
0.00E+00,0.00E+00,9.00E+00,4.50E+00
0.00E+00,5.20E+00,3.50E+00,0.00E+00
7.00E-01,6.90E+00,1.68E+01,9.70E+00
0.00E+00,6.20E+00,5.30E+00,1.50E+01
5.00E-01,3.40E+00,3.56E+01,8.20E+00
6.00E-01,2.20E+00,2.50E+01,1.73E+01
5.00E-01,2.10E+00,1.01E+01,2.20E+00
0.00E+00,1.15E+01,3.70E+01,9.00E-01
3.10E+00,1.12E+01,3.54E+01,3.90E+00
0.00E+00,4.70E+00,2.28E+01,2.30E+00
0.00E+00,6.20E+00,2.39E+01,1.40E+00
0.00E+00,7.20E+00,2.87E+01,0.00E+00
0.00E+00,4.40E+00,3.08E+01,3.10E+00
0.00E+00,4.20E+00,3.83E+01,3.10E+00
0.00E+00,7.00E+00,2.42E+01,1.21E+01
6.00E-01,4.70E+00,3.30E+01,1.20E+00
1.10E+00,4.00E+00,3.23E+01,1.50E+00
1.00E+00,1.11E+01,5.43E+01,1.30E+00
0.00E+00,7.40E+00,1.37E+01,3.90E+00
9.00E-01,6.00E+00,4.20E+01,1.20E+00
2.60E+00,1.90E+01,4.34E+01,2.90E+00
0.00E+00,6.70E+00,3.17E+01,2.40E+00
9.00E+00,1.74E+01,8.16E+01,5.00E-01
1.50E+00,7.20E+00,4.22E+01,1.10E+00
2.00E-01,4.30E+00,5.34E+01,1.10E+00
5.00E-01,5.10E+00,4.94E+01,1.00E+00
8.38E+01,1.42E+02,8.23E+01,4.30E+00
1.50E+00,3.30E+00,4.67E+01,0.00E+00
1.10E+00,9.50E+00,2.82E+01,4.00E-01
8.00E-01,6.50E+00,3.45E+01,1.20E+00
0.00E+00,2.60E+00,1.96E+01,6.00E+00
8.00E-01,2.70E+00,3.05E+01,5.00E+00
1.30E+00,5.10E+00,3.10E+01,6.00E-01
1.30E+00,1.02E+01,5.94E+01,8.00E-01
